GridTests initialized.
0 => 0
200 => 7
400 => 8
600 => 9
800 => 15
1000 => 23
1200 => 28
1400 => 29
1600 => 31
1800 => 33
2000 => 33
2200 => 35
2400 => 37
2600 => 41
2800 => 44
3000 => 45
3200 => 47
3400 => 51
3600 => 53
3800 => 55
4000 => 59
4200 => 62
4400 => 66
4600 => 67
4800 => 70
5000 => 76
5200 => 79
5400 => 81
5600 => 83
5800 => 88
6000 => 92
6200 => 93
6400 => 97
6600 => 98
6800 => 100
7000 => 101
7200 => 105
7400 => 106
7600 => 109
7800 => 110
8000 => 111
8200 => 112
8400 => 112
8600 => 114
8800 => 115
9000 => 116
9200 => 119
9400 => 121
9600 => 123
9800 => 125
10000 => 130
10200 => 133
10400 => 134
10600 => 136
10800 => 139
11000 => 140
11200 => 143
11400 => 143
11600 => 147
11800 => 147
12000 => 149
12200 => 150
12400 => 152
12600 => 155
12800 => 156
13000 => 157
13200 => 157
13400 => 158
13600 => 164
13800 => 165
14000 => 165
14200 => 168
14400 => 170
14600 => 172
14800 => 173
15000 => 174
15200 => 176
15400 => 179
15600 => 181
15800 => 184
16000 => 186
16200 => 186
16400 => 187
16600 => 189
16800 => 189
17000 => 191
17200 => 192
17400 => 197
17600 => 198
17800 => 199
18000 => 200
18200 => 200
18400 => 200
18600 => 200
18800 => 201
19000 => 205
19200 => 205
19400 => 206
19600 => 206
19800 => 208
20000 => 208
========================
0 => 0
200 => 6
400 => 11
600 => 15
800 => 21
1000 => 28
1200 => 33
1400 => 36
1600 => 41
1800 => 45
2000 => 48
2200 => 54
2400 => 55
2600 => 60
2800 => 63
3000 => 64
3200 => 68
3400 => 69
3600 => 69
3800 => 74
4000 => 78
4200 => 79
4400 => 81
4600 => 87
4800 => 91
5000 => 92
5200 => 94
5400 => 96
5600 => 101
5800 => 103
6000 => 104
6200 => 107
6400 => 114
6600 => 116
6800 => 119
7000 => 120
7200 => 121
7400 => 124
7600 => 129
7800 => 133
8000 => 137
8200 => 138
8400 => 145
8600 => 147
8800 => 149
9000 => 150
9200 => 150
9400 => 152
9600 => 155
9800 => 156
10000 => 158
10200 => 158
10400 => 159
10600 => 161
10800 => 163
11000 => 165
11200 => 169
11400 => 169
11600 => 169
11800 => 169
12000 => 170
12200 => 170
12400 => 173
12600 => 175
12800 => 175
13000 => 179
13200 => 183
13400 => 183
13600 => 183
13800 => 183
14000 => 184
14200 => 184
14400 => 185
14600 => 187
14800 => 187
15000 => 188
15200 => 188
15400 => 190
15600 => 190
15800 => 190
16000 => 190
16200 => 192
16400 => 192
16600 => 194
16800 => 194
17000 => 198
17200 => 198
17400 => 199
17600 => 200
17800 => 200
18000 => 200
18200 => 201
18400 => 202
18600 => 205
18800 => 205
19000 => 205
19200 => 206
19400 => 207
19600 => 207
19800 => 208
20000 => 208
========================
0 => 0
200 => 5
400 => 11
600 => 17
800 => 23
1000 => 27
1200 => 33
1400 => 36
1600 => 42
1800 => 46
2000 => 48
2200 => 52
2400 => 56
2600 => 63
2800 => 69
3000 => 72
3200 => 73
3400 => 77
3600 => 79
3800 => 81
4000 => 83
4200 => 86
4400 => 92
4600 => 98
4800 => 103
5000 => 104
5200 => 107
5400 => 107
5600 => 108
5800 => 111
6000 => 113
6200 => 116
6400 => 120
6600 => 124
6800 => 131
7000 => 134
7200 => 136
7400 => 138
7600 => 142
7800 => 144
8000 => 145
8200 => 147
8400 => 148
8600 => 149
8800 => 151
9000 => 153
9200 => 154
9400 => 155
9600 => 157
9800 => 157
10000 => 159
10200 => 161
10400 => 164
10600 => 167
10800 => 167
11000 => 168
11200 => 169
11400 => 171
11600 => 175
11800 => 175
12000 => 178
12200 => 178
12400 => 180
12600 => 180
12800 => 181
13000 => 182
13200 => 185
13400 => 185
13600 => 186
13800 => 186
14000 => 187
14200 => 188
14400 => 189
14600 => 191
14800 => 194
15000 => 195
15200 => 195
15400 => 197
15600 => 198
15800 => 200
16000 => 200
16200 => 200
16400 => 201
16600 => 201
16800 => 201
17000 => 202
17200 => 203
17400 => 204
17600 => 204
17800 => 204
18000 => 204
18200 => 206
18400 => 206
18600 => 207
18800 => 207
19000 => 207
19200 => 207
19400 => 208
19600 => 208
19800 => 208
20000 => 208
========================
